TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
634.4656,87.2256
635.4299,87.1847
636.3941,87.1469
637.3583,87.1144
638.3226,87.0867
639.2868,87.0608
640.2510,87.0329
641.2153,87.0002
642.1795,86.9623
643.1437,86.9207
644.1080,86.8779
645.0722,86.8361
646.0364,86.7966
647.0007,86.7589
647.9649,86.7209
648.9291,86.6803
649.8934,86.6356
650.8576,86.5868
651.8218,86.5348
652.7861,86.4801
653.7503,86.4228
654.7145,86.3638
655.6788,86.3056
656.6430,86.2524
657.6072,86.2084
658.5715,86.1764
659.5357,86.1577
660.4999,86.1514
661.4642,86.1544
662.4284,86.1606
663.3926,86.1603
664.3569,86.1393
665.3211,86.0784
666.2853,85.9573
667.2496,85.7748
668.2138,85.5844
669.1780,85.4762
670.1423,85.4807
671.1065,85.5502
672.0707,85.6294
673.0350,85.6885
673.9992,85.718
674.9634,85.7198
675.9277,85.7024
676.8919,85.6771
677.8561,85.653
678.8204,85.6356
679.7846,85.6276
680.7488,85.6289
681.7131,85.6374
682.6773,85.6486
683.6415,85.6578
684.6058,85.6625
685.5700,85.6637
686.5342,85.6649
687.4985,85.6702
688.4627,85.6819
689.4269,85.699
690.3912,85.7174
691.3554,85.7312
692.3196,85.735
693.2839,85.7268
694.2481,85.7077
695.2123,85.6795
696.1766,85.6417
697.1408,85.5912
698.1050,85.5243
699.0693,85.4401
700.0335,85.3402
700.9977,85.2251
701.9620,85.0905
702.9262,84.9283
703.8904,84.7307
704.8547,84.492
705.8189,84.2036
706.7831,83.8468
707.7474,83.3932
708.7116,82.8137
709.6758,82.0852
710.6401,81.1773
711.6043,80.0203
712.5685,78.486
713.5328,76.4233
714.4970,73.7647
715.4612,70.6552
716.4255,67.5224
717.3897,65.02
718.3539,63.8311
719.3182,64.383
720.2824,66.6088
721.2466,69.9255
722.2109,73.4737
723.1751,76.4534
724.1393,78.3367
725.1036,78.9067
726.0678,78.2249
727.0320,76.6186
727.9963,74.6717
728.9605,73.1338
729.9247,72.7074
730.8890,73.7841
731.8532,76.2733
732.8174,79.6343
733.7817,83.1119
734.7459,86.054
735.7101,88.1401
736.6744,89.4108
737.6386,90.1262
738.6028,90.5703
739.5671,90.9239
740.5313,91.2474
741.4955,91.5365
742.4598,91.7823
743.4240,91.9943
744.3882,92.1899
745.3525,92.3776
746.3167,92.5553
747.2809,92.7189
748.2452,92.8705
749.2094,93.0168
750.1736,93.1628
751.1379,93.3072
752.1021,93.4455
753.0663,93.5748
754.0306,93.6965
754.9948,93.8148
755.9590,93.9335
756.9233,94.0545
757.8875,94.1776
758.8517,94.3013
759.8160,94.4224
760.7802,94.5363
761.7444,94.6384
762.7087,94.7267
763.6729,94.8034
764.6371,94.8745
765.6014,94.9477
766.5656,95.0293
767.5298,95.1222
768.4941,95.2251
769.4583,95.3328
770.4225,95.4386
771.3868,95.5367
772.3510,95.6247
773.3152,95.7044
774.2795,95.78
775.2437,95.8545
776.2079,95.9282
777.1722,95.9976
778.1364,96.0583
779.1006,96.1082
780.0649,96.1486
781.0291,96.1844
781.9933,96.2208
782.9576,96.2616
783.9218,96.3067
784.8860,96.3537
785.8503,96.3984
786.8145,96.4374
787.7787,96.4689
788.7430,96.493
789.7072,96.5107
790.6714,96.5231
791.6357,96.5309
792.5999,96.5346
793.5641,96.535
794.5284,96.5334
795.4926,96.5317
796.4568,96.5307
797.4211,96.5304
798.3853,96.5294
799.3495,96.5256
800.3138,96.5173
801.2780,96.5033
