TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1683.5516,100.334
1685.4801,100.61
1687.4086,100.963
1689.3370,101.267
1691.2655,101.42
1693.1940,101.383
1695.1224,101.18
1697.0509,100.917
1698.9794,100.766
1700.9078,100.864
1702.8363,101.188
1704.7648,101.58
1706.6932,101.887
1708.6217,102.027
1710.5502,101.989
1712.4786,101.825
1714.4071,101.641
1716.3356,101.575
1718.2640,101.707
1720.1925,101.988
1722.1210,102.279
1724.0494,102.446
1725.9779,102.404
1727.9064,102.107
1729.8348,101.549
1731.7633,100.788
1733.6918,99.9841
1735.6202,99.3472
1737.5487,99.0219
1739.4772,99.0245
1741.4056,99.2893
1743.3341,99.7383
1745.2626,100.309
1747.1910,100.946
1749.1195,101.596
1751.0480,102.205
1752.9764,102.735
1754.9049,103.168
1756.8334,103.503
1758.7618,103.746
1760.6903,103.902
1762.6188,103.972
1764.5472,103.963
1766.4757,103.891
1768.4042,103.789
1770.3326,103.706
1772.2611,103.695
1774.1896,103.778
1776.1180,103.939
1778.0465,104.131
1779.9750,104.304
1781.9034,104.421
1783.8319,104.464
1785.7604,104.429
1787.6888,104.329
1789.6173,104.193
1791.5458,104.061
1793.4742,103.981
1795.4027,103.982
1797.3312,104.068
1799.2596,104.211
1801.1881,104.371
1803.1166,104.514
1805.0450,104.623
1806.9735,104.702
1808.9020,104.769
1810.8304,104.84
1812.7589,104.923
1814.6874,105.004
1816.6158,105.058
1818.5443,105.055
1820.4728,104.981
1822.4012,104.846
1824.3297,104.689
1826.2582,104.571
