TITLE SAMPLE NAME:,Polyvinyl Chloride (pipe pieces)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
798.3853,100.597
800.3138,100.584
802.2422,100.564
804.1707,100.534
806.0992,100.491
808.0276,100.433
809.9561,100.357
811.8846,100.258
813.8130,100.128
815.7415,99.9601
817.6700,99.7473
819.5984,99.4859
821.5269,99.1774
823.4554,98.8299
825.3839,98.4585
827.3123,98.0854
829.2408,97.7378
831.1693,97.4423
833.0977,97.2157
835.0262,97.0565
836.9547,96.9423
838.8831,96.8382
840.8116,96.7133
842.7401,96.5568
844.6685,96.381
846.5970,96.2079
848.5255,96.0487
850.4539,95.8902
852.3824,95.6982
854.3109,95.4321
856.2393,95.0527
858.1678,94.5134
860.0963,93.7428
862.0247,92.6452
863.9532,91.1424
865.8817,89.2478
867.8101,87.1356
869.7386,85.1478
871.6671,83.7127
873.5955,83.1953
875.5240,83.7532
877.4525,85.2781
879.3809,87.4511
881.3094,89.8725
883.2379,92.1888
885.1663,94.1635
887.0948,95.6836
889.0233,96.731
890.9517,97.3492
892.8802,97.6201
894.8087,97.646
896.7371,97.5302
898.6656,97.3564
900.5941,97.1732
902.5225,96.9944
904.4510,96.8111
906.3795,96.6103
908.3079,96.3869
910.2364,96.1472
912.1649,95.9055
914.0934,95.6776
916.0219,95.477
917.9503,95.3115
919.8788,95.1828
921.8073,95.086
923.7357,95.0119
925.6642,94.9509
927.5927,94.8954
929.5211,94.8406
931.4496,94.7823
933.3781,94.715
935.3065,94.6311
937.2350,94.5242
939.1635,94.3913
941.0919,94.2349
943.0204,94.0611
944.9489,93.8748
946.8773,93.6767
948.8058,93.4622
950.7343,93.2249
952.6627,92.9618
954.5912,92.6782
956.5197,92.3896
958.4481,92.1199
960.3766,91.8973
962.3051,91.7488
964.2335,91.6966
966.1620,91.7563
968.0905,91.9358
970.0189,92.2348
971.9474,92.6453
973.8759,93.1503
975.8043,93.7251
977.7328,94.3382
979.6613,94.9531
981.5897,95.5325
983.5182,96.0425
985.4467,96.4592
987.3751,96.7724
989.3036,96.9875
991.2321,97.1232
993.1605,97.2059
995.0890,97.2633
997.0175,97.3189
998.9459,97.3884
1000.8744,97.4784
1002.8029,97.587
1004.7313,97.7064
1006.6598,97.8255
1008.5883,97.9334
1010.5167,98.0209
1012.4452,98.0817
1014.3737,98.1131
1016.3021,98.1157
1018.2306,98.0944
1020.1591,98.0569
1022.0875,98.0127
1024.0160,97.9705
1025.9445,97.9363
1027.8729,97.9117
1029.8014,97.8951
1031.7299,97.8829
1033.6583,97.8727
1035.5868,97.8639
1037.5153,97.8586
1039.4437,97.8595
1041.3722,97.8682
1043.3007,97.8845
1045.2291,97.9072
1047.1576,97.9358
1049.0861,97.9732
1051.0145,98.0248
1052.9430,98.0966
1054.8715,98.1909
1056.7999,98.3043
1058.7284,98.4274
1060.6569,98.548
1062.5853,98.6558
1064.5138,98.7454
1066.4423,98.8172
1068.3707,98.8754
1070.2992,98.9249
1072.2277,98.969
1074.1561,99.0085
1076.0846,99.0425
1078.0131,99.0705
1079.9415,99.0937
1081.8700,99.1156
1083.7985,99.1414
1085.7269,99.176
1087.6554,99.2231
1089.5839,99.2848
1091.5123,99.3629
1093.4408,99.4607
1095.3693,99.5844
1097.2977,99.7429
1099.2262,99.9445
1101.1547,100.193
1103.0831,100.485
1105.0116,100.805
1106.9401,101.131
1108.8685,101.437
1110.7970,101.702
1112.7255,101.918
1114.6539,102.086
1116.5824,102.217
1118.5109,102.327
1120.4393,102.431
1122.3678,102.534
1124.2963,102.638
1126.2247,102.737
1128.1532,102.822
1130.0817,102.883
1132.0101,102.911
1133.9386,102.9
1135.8671,102.845
1137.7955,102.745
