TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2167.5969,103.39
2169.5254,103.48
2171.4539,103.535
2173.3823,103.556
2175.3108,103.564
2177.2393,103.585
2179.1677,103.634
2181.0962,103.701
2183.0247,103.764
2184.9531,103.803
2186.8816,103.813
2188.8101,103.806
2190.7385,103.797
2192.6670,103.793
2194.5955,103.791
2196.5239,103.784
2198.4524,103.77
2200.3809,103.755
2202.3093,103.746
2204.2378,103.754
2206.1663,103.777
2208.0947,103.811
2210.0232,103.845
2211.9517,103.872
2213.8801,103.889
2215.8086,103.899
2217.7371,103.908
2219.6655,103.921
2221.5940,103.938
2223.5225,103.956
2225.4509,103.97
2227.3794,103.976
2229.3079,103.974
2231.2363,103.963
2233.1648,103.947
2235.0933,103.931
2237.0217,103.917
2238.9502,103.908
2240.8787,103.902
2242.8071,103.896
2244.7356,103.884
2246.6641,103.863
2248.5925,103.828
2250.5210,103.78
2252.4495,103.721
2254.3779,103.656
2256.3064,103.59
2258.2349,103.53
2260.1633,103.48
2262.0918,103.443
2264.0203,103.418
2265.9487,103.402
2267.8772,103.394
2269.8057,103.394
2271.7341,103.406
2273.6626,103.427
2275.5911,103.448
2277.5195,103.452
2279.4480,103.415
2281.3765,103.315
2283.3049,103.132
2285.2334,102.858
2287.1619,102.492
2289.0903,102.048
2291.0188,101.546
2292.9473,101.014
2294.8757,100.472
2296.8042,99.9232
2298.7327,99.3502
2300.6611,98.7233
2302.5896,98.0198
2304.5181,97.2426
2306.4465,96.427
2308.3750,95.6254
2310.3035,94.8769
2312.2319,94.1811
2314.1604,93.4954
2316.0889,92.763
2318.0173,91.9519
2319.9458,91.0832
2321.8743,90.228
2323.8027,89.4747
2325.7312,88.8899
2327.6597,88.4913
2329.5881,88.2437
2331.5166,88.0742
2333.4451,87.9074
2335.3735,87.7142
2337.3020,87.5518
2339.2305,87.5491
2341.1589,87.8035
2343.0874,88.2618
2345.0159,88.7316
2346.9443,89.0012
2348.8728,88.9191
2350.8013,88.396
2352.7297,87.3937
2354.6582,85.9627
2356.5867,84.3396
2358.5151,83.0004
2360.4436,82.4488
2362.3721,82.8417
2364.3005,83.962
2366.2290,85.5252
2368.1575,87.3477
2370.0859,89.3139
2372.0144,91.3271
2373.9429,93.3094
2375.8713,95.2103
2377.7998,97.0003
2379.7283,98.6553
2381.6567,100.148
2383.5852,101.449
2385.5137,102.53
2387.4421,103.372
2389.3706,103.973
2391.2991,104.356
2393.2275,104.564
2395.1560,104.654
2397.0845,104.681
2399.0129,104.686
2400.9414,104.688
2402.8699,104.692
2404.7983,104.698
2406.7268,104.704
2408.6553,104.711
2410.5837,104.716
2412.5122,104.718
2414.4407,104.714
2416.3691,104.705
2418.2976,104.691
2420.2261,104.677
2422.1545,104.666
2424.0830,104.658
2426.0115,104.655
2427.9399,104.654
2429.8684,104.654
2431.7969,104.656
2433.7253,104.659
2435.6538,104.665
2437.5823,104.675
2439.5107,104.687
2441.4392,104.699
2443.3677,104.706
2445.2961,104.708
2447.2246,104.705
2449.1531,104.7
2451.0815,104.697
2453.0100,104.698
2454.9385,104.704
2456.8669,104.714
2458.7954,104.725
2460.7239,104.736
2462.6523,104.744
2464.5808,104.75
2466.5093,104.753
2468.4377,104.755
2470.3662,104.757
2472.2947,104.761
2474.2231,104.765
2476.1516,104.769
2478.0801,104.771
2480.0085,104.77
2481.9370,104.763
2483.8655,104.753
2485.7939,104.743
2487.7224,104.735
2489.6509,104.735
2491.5793,104.742
2493.5078,104.757
2495.4363,104.776
2497.3647,104.795
2499.2932,104.81
2501.2217,104.817
2503.1501,104.817
2505.0786,104.812
2507.0071,104.806
2508.9355,104.802
2510.8640,104.801
2512.7925,104.803
2514.7209,104.805
2516.6494,104.805
2518.5779,104.802
2520.5063,104.796
2522.4348,104.788
2524.3633,104.781
2526.2917,104.779
2528.2202,104.782
2530.1487,104.791
2532.0771,104.803
2534.0056,104.814
2535.9341,104.819
2537.8625,104.819
2539.7910,104.815
2541.7195,104.813
2543.6479,104.815
2545.5764,104.822
2547.5049,104.83
2549.4333,104.834
2551.3618,104.831
2553.2903,104.823
2555.2188,104.814
2557.1472,104.807
2559.0757,104.807
2561.0042,104.811
2562.9326,104.816
2564.8611,104.82
2566.7896,104.82
2568.7180,104.816
2570.6465,104.812
2572.5750,104.807
2574.5034,104.804
2576.4319,104.801
2578.3604,104.8
2580.2888,104.799
2582.2173,104.799
2584.1458,104.801
2586.0742,104.804
2588.0027,104.81
2589.9312,104.818
2591.8596,104.828
2593.7881,104.84
2595.7166,104.854
2597.6450,104.866
2599.5735,104.874
2601.5020,104.877
2603.4304,104.872
2605.3589,104.862
2607.2874,104.85
2609.2158,104.838
2611.1443,104.831
2613.0728,104.829
2615.0012,104.835
2616.9297,104.846
2618.8582,104.86
2620.7866,104.874
2622.7151,104.886
2624.6436,104.895
2626.5720,104.9
2628.5005,104.902
2630.4290,104.903
2632.3574,104.904
2634.2859,104.904
2636.2144,104.905
2638.1428,104.905
2640.0713,104.906
2641.9998,104.908
2643.9282,104.909
2645.8567,104.91
2647.7852,104.91
2649.7136,104.911
2651.6421,104.912
2653.5706,104.913
2655.4990,104.916
2657.4275,104.919
2659.3560,104.923
2661.2844,104.927
2663.2129,104.931
2665.1414,104.935
2667.0698,104.94
2668.9983,104.943
2670.9268,104.946
2672.8552,104.949
2674.7837,104.952
2676.7122,104.957
2678.6406,104.965
2680.5691,104.975
2682.4976,104.984
2684.4260,104.992
2686.3545,104.999
2688.2830,105.004
2690.2114,105.008
2692.1399,105.011
2694.0684,105.013
2695.9968,105.013
2697.9253,105.01
2699.8538,105.005
2701.7822,104.995
2703.7107,104.983
2705.6392,104.968
2707.5676,104.95
2709.4961,104.931
2711.4246,104.91
2713.3530,104.889
2715.2815,104.866
2717.2100,104.844
2719.1384,104.825
2721.0669,104.812
2722.9954,104.808
2724.9238,104.815
2726.8523,104.833
2728.7808,104.858
2730.7092,104.886
2732.6377,104.911
2734.5662,104.931
2736.4946,104.946
2738.4231,104.957
2740.3516,104.964
2742.2800,104.97
2744.2085,104.974
2746.1370,104.975
2748.0654,104.974
2749.9939,104.972
2751.9224,104.969
2753.8508,104.969
2755.7793,104.972
2757.7078,104.979
2759.6362,104.989
2761.5647,105
2763.4932,105.011
2765.4216,105.018
2767.3501,105.021
2769.2786,105.019
2771.2070,105.012
2773.1355,105.003
2775.0640,104.992
2776.9924,104.981
2778.9209,104.969
2780.8494,104.952
2782.7778,104.929
2784.7063,104.899
2786.6348,104.865
2788.5632,104.83
2790.4917,104.798
2792.4202,104.77
2794.3486,104.744
2796.2771,104.714
2798.2056,104.677
2800.1340,104.63
2802.0625,104.575
2803.9910,104.516
2805.9194,104.456
2807.8479,104.399
2809.7764,104.34
2811.7048,104.274
2813.6333,104.196
2815.5618,104.101
2817.4902,103.987
2819.4187,103.846
2821.3472,103.66
2823.2756,103.394
2825.2041,103.009
2827.1326,102.479
2829.0610,101.817
2830.9895,101.083
2832.9180,100.381
2834.8464,99.8236
2836.7749,99.4923
2838.7034,99.4081
2840.6318,99.5269
2842.5603,99.7644
2844.4888,100.035
2846.4172,100.282
2848.3457,100.486
2850.2742,100.645
2852.2026,100.747
2854.1311,100.762
2856.0596,100.647
2857.9880,100.381
2859.9165,99.9819
2861.8450,99.5105
2863.7734,99.0489
2865.7019,98.6682
2867.6304,98.4071
2869.5588,98.2675
2871.4873,98.2275
2873.4158,98.2602
2875.3442,98.3459
2877.2727,98.4723
2879.2012,98.6281
2881.1296,98.7953
2883.0581,98.949
2884.9866,99.0618
2886.9150,99.1104
2888.8435,99.0782
2890.7720,98.9555
2892.7004,98.7382
2894.6289,98.4286
2896.5574,98.0373
2898.4858,97.583
2900.4143,97.0875
2902.3428,96.5682
2904.2712,96.0324
2906.1997,95.4808
2908.1282,94.9183
2910.0566,94.3679
2911.9851,93.8775
2913.9136,93.5128
2915.8420,93.3386
2917.7705,93.3963
2919.6990,93.6886
2921.6274,94.1805
2923.5559,94.8142
2925.4844,95.5302
2927.4128,96.2821
2929.3413,97.0348
2931.2698,97.752
2933.1982,98.3822
2935.1267,98.8576
2937.0552,99.1088
2938.9836,99.0914
2940.9121,98.8106
2942.8406,98.3306
2944.7690,97.762
2946.6975,97.2307
2948.6260,96.8418
2950.5544,96.653
2952.4829,96.6701
2954.4114,96.863
2956.3398,97.1909
2958.2683,97.6236
