TITLE SAMPLE NAME:,Polypropylene (medicine containers-plastics caps-containers-makeup packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
1862.8990,99.1021
1864.8275,98.9025
1866.7560,98.7535
1868.6844,98.716
1870.6129,98.8131
1872.5414,99.0081
1874.4698,99.224
1876.3983,99.387
1878.3268,99.4564
1880.2552,99.4308
1882.1837,99.3374
1884.1122,99.2135
1886.0406,99.0926
1887.9691,98.998
1889.8976,98.9435
1891.8260,98.9353
1893.7545,98.9691
1895.6830,99.0273
1897.6115,99.0824
1899.5399,99.1075
1901.4684,99.0881
1903.3969,99.0277
1905.3253,98.9447
1907.2538,98.8602
1909.1823,98.7854
1911.1107,98.7161
1913.0392,98.6384
1914.9677,98.5426
1916.8961,98.4341
1918.8246,98.3351
1920.7531,98.274
1922.6815,98.2689
1924.6100,98.3152
1926.5385,98.3868
1928.4669,98.4467
1930.3954,98.4602
1932.3239,98.4047
1934.2523,98.2737
1936.1808,98.0772
1938.1093,97.84
1940.0377,97.5983
1941.9662,97.3916
1943.8947,97.2493
1945.8231,97.1781
1947.7516,97.1577
1949.6801,97.1502
1951.6085,97.1156
1953.5370,97.0235
1955.4655,96.8574
1957.3939,96.6149
1959.3224,96.3079
1961.2509,95.9641
1963.1793,95.6219
1965.1078,95.3186
1967.0363,95.0719
1968.9647,94.8722
1970.8932,94.6929
1972.8217,94.5184
1974.7501,94.3678
1976.6786,94.2897
1978.6071,94.3236
1980.5355,94.462
1982.4640,94.6519
1984.3925,94.8289
1986.3209,94.9519
1988.2494,95.019
1990.1779,95.0607
1992.1063,95.1181
1994.0348,95.2143
1995.9633,95.3377
1997.8917,95.4457
1999.8202,95.4837
2001.7487,95.4086
2003.6771,95.2091
2005.6056,94.9145
2007.5341,94.5871
2009.4625,94.2955
2011.3910,94.0838
2013.3195,93.9587
2015.2479,93.8993
2017.1764,93.878
2019.1049,93.8756
2021.0333,93.8828
2022.9618,93.8932
2024.8903,93.8964
2026.8187,93.8803
2028.7472,93.8424
2030.6757,93.7997
2032.6041,93.7871
2034.5326,93.8406
2036.4611,93.9773
2038.3895,94.1889
2040.3180,94.4511
2042.2465,94.7383
2044.1749,95.0332
2046.1034,95.3277
2048.0320,95.6161
2049.9604,95.8902
2051.8889,96.1378
2053.8174,96.3477
2055.7458,96.5142
