TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
972.9116,96.1412
973.8759,96.2443
974.8401,96.6553
975.8043,97.2977
976.7686,98.0663
977.7328,98.8569
978.6970,99.5878
979.6613,100.21
980.6255,100.706
981.5897,101.08
982.5540,101.35
983.5182,101.535
984.4824,101.654
985.4467,101.717
986.4109,101.727
987.3751,101.684
988.3394,101.58
989.3036,101.403
990.2678,101.137
991.2321,100.762
992.1963,100.269
993.1605,99.6708
994.1248,99.0154
995.0890,98.3847
996.0532,97.8785
997.0175,97.5859
997.9817,97.5556
998.9459,97.7796
999.9102,98.1969
1000.8744,98.7162
1001.8386,99.2465
1002.8029,99.721
1003.7671,100.108
1004.7313,100.404
1005.6956,100.625
1006.6598,100.79
1007.6240,100.914
1008.5883,101.009
1009.5525,101.079
1010.5167,101.126
1011.4810,101.152
1012.4452,101.155
1013.4094,101.136
1014.3737,101.099
1015.3379,101.049
1016.3021,100.996
1017.2664,100.948
1018.2306,100.914
1019.1948,100.897
1020.1591,100.895
1021.1233,100.902
1022.0875,100.911
1023.0518,100.912
1024.0160,100.898
1024.9802,100.866
1025.9445,100.816
1026.9087,100.753
1027.8729,100.682
1028.8372,100.606
1029.8014,100.529
1030.7656,100.449
1031.7299,100.367
1032.6941,100.282
1033.6583,100.197
1034.6226,100.114
1035.5868,100.037
1036.5510,99.9691
1037.5153,99.9089
1038.4795,99.8539
1039.4437,99.8001
1040.4080,99.7445
1041.3722,99.6867
1042.3364,99.6309
1043.3007,99.5845
1044.2649,99.5565
1045.2291,99.5547
1046.1934,99.5823
1047.1576,99.6373
1048.1218,99.7137
1049.0861,99.804
1050.0503,99.9019
1051.0145,100.003
1051.9788,100.104
1052.9430,100.203
1053.9072,100.297
1054.8715,100.384
1055.8357,100.462
1056.7999,100.532
1057.7642,100.596
1058.7284,100.655
1059.6926,100.708
1060.6569,100.758
1061.6211,100.804
1062.5853,100.848
1063.5496,100.894
1064.5138,100.941
1065.4780,100.991
1066.4423,101.042
1067.4065,101.09
1068.3707,101.132
1069.3350,101.168
1070.2992,101.198
1071.2634,101.224
1072.2277,101.246
1073.1919,101.264
1074.1561,101.276
1075.1204,101.281
1076.0846,101.281
1077.0488,101.279
1078.0131,101.281
1078.9773,101.291
1079.9415,101.309
1080.9058,101.333
1081.8700,101.358
1082.8342,101.381
1083.7985,101.4
1084.7627,101.414
1085.7269,101.422
1086.6912,101.424
1087.6554,101.42
1088.6196,101.411
1089.5839,101.398
1090.5481,101.382
1091.5123,101.36
1092.4766,101.329
1093.4408,101.283
1094.4050,101.219
1095.3693,101.134
1096.3335,101.026
1097.2977,100.901
1098.2620,100.765
1099.2262,100.63
1100.1904,100.51
1101.1547,100.42
1102.1189,100.373
1103.0831,100.375
1104.0474,100.424
1105.0116,100.511
1105.9758,100.621
1106.9401,100.737
1107.9043,100.847
1108.8685,100.942
