TITLE SAMPLE NAME:,Polyethylene High Density  (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,4 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,3751
1264.1101,103.545
1265.0743,103.541
1266.0386,103.534
1267.0028,103.527
1267.9670,103.525
1268.9313,103.528
1269.8955,103.54
1270.8597,103.559
1271.8240,103.584
1272.7882,103.613
1273.7524,103.639
1274.7167,103.66
1275.6809,103.673
1276.6451,103.676
1277.6094,103.674
1278.5736,103.671
1279.5378,103.671
1280.5021,103.674
1281.4663,103.677
1282.4305,103.678
1283.3948,103.67
1284.3590,103.653
1285.3232,103.627
1286.2875,103.599
1287.2517,103.577
1288.2159,103.565
1289.1802,103.567
1290.1444,103.579
1291.1086,103.594
1292.0729,103.606
1293.0371,103.609
1294.0013,103.603
1294.9656,103.591
1295.9298,103.579
1296.8940,103.57
1297.8583,103.565
1298.8225,103.564
1299.7867,103.564
1300.7510,103.564
1301.7152,103.561
1302.6794,103.552
1303.6437,103.539
1304.6079,103.522
1305.5721,103.504
1306.5364,103.484
1307.5006,103.463
1308.4648,103.435
1309.4291,103.4
1310.3933,103.357
1311.3575,103.311
1312.3218,103.268
1313.2860,103.232
1314.2502,103.203
1315.2145,103.177
1316.1787,103.156
1317.1429,103.143
1318.1072,103.147
1319.0714,103.177
1320.0356,103.23
1320.9999,103.298
1321.9641,103.367
1322.9283,103.425
1323.8926,103.467
1324.8568,103.494
1325.8210,103.513
1326.7853,103.527
1327.7495,103.54
1328.7137,103.55
1329.6780,103.557
1330.6422,103.559
1331.6064,103.551
1332.5707,103.524
1333.5349,103.466
1334.4991,103.365
1335.4634,103.22
1336.4276,103.045
1337.3918,102.88
1338.3561,102.776
1339.3203,102.772
1340.2845,102.871
1341.2488,103.034
1342.2130,103.203
1343.1772,103.336
1344.1415,103.412
1345.1057,103.435
1346.0699,103.423
1347.0342,103.397
1347.9984,103.373
1348.9626,103.356
1349.9269,103.343
1350.8911,103.326
1351.8553,103.299
1352.8196,103.264
1353.7838,103.228
1354.7480,103.197
1355.7123,103.171
1356.6765,103.138
1357.6407,103.08
1358.6050,102.983
1359.5692,102.851
1360.5334,102.713
1361.4977,102.615
1362.4619,102.596
1363.4261,102.658
1364.3904,102.762
1365.3546,102.861
1366.3188,102.923
1367.2831,102.94
1368.2473,102.919
