TITLE SAMPLE NAME:,Polyethylene High Density (commerced packaging)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2217.7371,104.392
2219.6655,104.415
2221.5940,104.415
2223.5225,104.393
2225.4509,104.362
2227.3794,104.335
2229.3079,104.323
2231.2363,104.327
2233.1648,104.339
2235.0933,104.345
2237.0217,104.337
2238.9502,104.312
2240.8787,104.273
2242.8071,104.226
2244.7356,104.179
2246.6641,104.136
2248.5925,104.098
2250.5210,104.063
2252.4495,104.029
2254.3779,103.992
2256.3064,103.955
2258.2349,103.918
2260.1633,103.886
2262.0918,103.86
2264.0203,103.839
2265.9487,103.817
2267.8772,103.792
2269.8057,103.764
2271.7341,103.736
2273.6626,103.712
2275.5911,103.692
2277.5195,103.668
2279.4480,103.631
2281.3765,103.57
2283.3049,103.485
2285.2334,103.378
2287.1619,103.256
2289.0903,103.126
2291.0188,102.99
2292.9473,102.852
2294.8757,102.714
2296.8042,102.572
2298.7327,102.421
2300.6611,102.251
2302.5896,102.053
2304.5181,101.825
2306.4465,101.575
2308.3750,101.319
2310.3035,101.067
2312.2319,100.821
2314.1604,100.566
2316.0889,100.285
2318.0173,99.9672
2319.9458,99.6253
2321.8743,99.289
2323.8027,98.9925
2325.7312,98.758
2327.6597,98.5863
2329.5881,98.4589
2331.5166,98.3463
2333.4451,98.2234
2335.3735,98.0881
2337.3020,97.9754
2339.2305,97.9488
2341.1589,98.0542
2343.0874,98.2691
2345.0159,98.5082
2346.9443,98.678
2348.8728,98.7123
2350.8013,98.5716
2352.7297,98.2357
2354.6582,97.7144
2356.5867,97.0853
2358.5151,96.5224
2360.4436,96.2292
2362.3721,96.2937
2364.3005,96.6576
2366.2290,97.2202
2368.1575,97.9047
2370.0859,98.6522
2372.0144,99.4109
2373.9429,100.14
2375.8713,100.818
2377.7998,101.434
2379.7283,101.986
2381.6567,102.469
2383.5852,102.879
2385.5137,103.21
2387.4421,103.461
2389.3706,103.634
2391.2991,103.74
2393.2275,103.797
2395.1560,103.822
2397.0845,103.832
2399.0129,103.837
2400.9414,103.838
2402.8699,103.836
2404.7983,103.831
2406.7268,103.821
2408.6553,103.811
2410.5837,103.801
2412.5122,103.792
2414.4407,103.783
2416.3691,103.773
2418.2976,103.764
2420.2261,103.756
2422.1545,103.75
2424.0830,103.746
2426.0115,103.744
2427.9399,103.741
2429.8684,103.737
2431.7969,103.731
2433.7253,103.722
2435.6538,103.712
2437.5823,103.702
2439.5107,103.694
2441.4392,103.688
2443.3677,103.684
2445.2961,103.681
2447.2246,103.678
2449.1531,103.674
2451.0815,103.667
2453.0100,103.66
2454.9385,103.654
2456.8669,103.65
2458.7954,103.65
2460.7239,103.654
2462.6523,103.657
2464.5808,103.657
2466.5093,103.648
2468.4377,103.631
2470.3662,103.606
2472.2947,103.579
2474.2231,103.555
2476.1516,103.54
2478.0801,103.533
2480.0085,103.532
2481.9370,103.535
2483.8655,103.537
2485.7939,103.539
2487.7224,103.539
2489.6509,103.54
2491.5793,103.542
2493.5078,103.544
2495.4363,103.544
2497.3647,103.539
2499.2932,103.527
2501.2217,103.509
2503.1501,103.486
2505.0786,103.463
2507.0071,103.445
2508.9355,103.433
2510.8640,103.428
2512.7925,103.428
2514.7209,103.429
2516.6494,103.426
2518.5779,103.42
2520.5063,103.409
2522.4348,103.397
2524.3633,103.385
2526.2917,103.375
2528.2202,103.367
2530.1487,103.362
2532.0771,103.357
2534.0056,103.354
2535.9341,103.353
2537.8625,103.355
2539.7910,103.358
2541.7195,103.363
2543.6479,103.365
2545.5764,103.362
2547.5049,103.352
2549.4333,103.334
2551.3618,103.312
2553.2903,103.287
2555.2188,103.265
2557.1472,103.25
2559.0757,103.243
2561.0042,103.241
2562.9326,103.238
2564.8611,103.231
2566.7896,103.215
2568.7180,103.194
2570.6465,103.171
2572.5750,103.152
2574.5034,103.14
2576.4319,103.133
2578.3604,103.129
2580.2888,103.124
2582.2173,103.114
2584.1458,103.101
2586.0742,103.085
2588.0027,103.068
2589.9312,103.051
2591.8596,103.037
2593.7881,103.027
2595.7166,103.021
2597.6450,103.018
2599.5735,103.015
2601.5020,103.008
2603.4304,102.997
2605.3589,102.979
2607.2874,102.958
2609.2158,102.938
2611.1443,102.92
2613.0728,102.907
2615.0012,102.895
2616.9297,102.883
2618.8582,102.87
2620.7866,102.853
2622.7151,102.836
2624.6436,102.82
2626.5720,102.804
2628.5005,102.79
2630.4290,102.777
2632.3574,102.766
2634.2859,102.756
2636.2144,102.75
2638.1428,102.745
2640.0713,102.742
2641.9998,102.74
2643.9282,102.738
2645.8567,102.735
2647.7852,102.73
2649.7136,102.724
2651.6421,102.717
2653.5706,102.71
2655.4990,102.704
2657.4275,102.7
2659.3560,102.699
2661.2844,102.701
2663.2129,102.707
2665.1414,102.714
2667.0698,102.721
2668.9983,102.726
2670.9268,102.728
2672.8552,102.727
2674.7837,102.723
2676.7122,102.718
2678.6406,102.713
2680.5691,102.708
2682.4976,102.704
2684.4260,102.701
2686.3545,102.699
2688.2830,102.698
2690.2114,102.697
2692.1399,102.695
2694.0684,102.691
2695.9968,102.684
2697.9253,102.674
2699.8538,102.662
2701.7822,102.648
2703.7107,102.633
2705.6392,102.619
2707.5676,102.607
2709.4961,102.597
2711.4246,102.588
2713.3530,102.579
2715.2815,102.567
2717.2100,102.553
2719.1384,102.537
2721.0669,102.519
2722.9954,102.501
2724.9238,102.484
2726.8523,102.468
2728.7808,102.45
2730.7092,102.43
2732.6377,102.408
2734.5662,102.386
2736.4946,102.366
2738.4231,102.35
2740.3516,102.339
2742.2800,102.329
2744.2085,102.319
2746.1370,102.306
2748.0654,102.29
2749.9939,102.272
2751.9224,102.254
2753.8508,102.238
2755.7793,102.222
2757.7078,102.204
2759.6362,102.182
2761.5647,102.153
2763.4932,102.119
2765.4216,102.084
2767.3501,102.049
2769.2786,102.018
2771.2070,101.988
2773.1355,101.957
2775.0640,101.92
