TITLE SAMPLE NAME:,Polystyrene (medicine-toys-disposable dishes)
DATA TYPE:,Infrared Spectrum
MEASUREMENT INFORMATION:,Spectrophotometer
MODEL NAME:,FT/IR ATR-4X JASSCO Type A
SERIAL No:,A009662111
ACCESSORY:,ATR PRO 4x
LIGHT SOURCE:,DLATGS Standard
RESOLUTION:,8 cm-1
XUNITS/ HORIZONTAL AXIS:,Wavenumber [cm-1]
YUNITS/ VERTICAL AXIS:,Transmittance %T
FIRSTX:,399
FIRSTY:,0
LASTX:,4000
LASTY:,120
NPOINTS:,1884
2566.7896,103.49
2568.7180,103.465
2570.6465,103.432
2572.5750,103.398
2574.5034,103.373
2576.4319,103.361
2578.3604,103.358
2580.2888,103.362
2582.2173,103.367
2584.1458,103.373
2586.0742,103.381
2588.0027,103.395
2589.9312,103.414
2591.8596,103.435
2593.7881,103.453
2595.7166,103.462
2597.6450,103.459
2599.5735,103.446
2601.5020,103.429
2603.4304,103.415
2605.3589,103.408
2607.2874,103.408
2609.2158,103.411
2611.1443,103.411
2613.0728,103.406
2615.0012,103.398
2616.9297,103.392
2618.8582,103.394
2620.7866,103.404
2622.7151,103.421
2624.6436,103.439
2626.5720,103.452
2628.5005,103.456
2630.4290,103.453
2632.3574,103.446
2634.2859,103.44
2636.2144,103.438
2638.1428,103.44
2640.0713,103.443
2641.9998,103.443
2643.9282,103.439
2645.8567,103.429
2647.7852,103.417
2649.7136,103.403
2651.6421,103.392
2653.5706,103.383
2655.4990,103.376
2657.4275,103.37
2659.3560,103.366
2661.2844,103.362
2663.2129,103.36
2665.1414,103.361
2667.0698,103.365
2668.9983,103.372
2670.9268,103.378
2672.8552,103.379
2674.7837,103.375
2676.7122,103.366
2678.6406,103.356
2680.5691,103.351
2682.4976,103.353
2684.4260,103.363
2686.3545,103.375
2688.2830,103.386
2690.2114,103.39
2692.1399,103.388
2694.0684,103.382
2695.9968,103.377
2697.9253,103.374
2699.8538,103.374
2701.7822,103.373
2703.7107,103.364
2705.6392,103.345
2707.5676,103.315
2709.4961,103.277
2711.4246,103.235
2713.3530,103.193
2715.2815,103.153
2717.2100,103.116
2719.1384,103.083
2721.0669,103.057
2722.9954,103.043
2724.9238,103.048
2726.8523,103.073
2728.7808,103.117
2730.7092,103.172
2732.6377,103.228
2734.5662,103.274
2736.4946,103.305
2738.4231,103.321
2740.3516,103.327
2742.2800,103.331
2744.2085,103.339
2746.1370,103.351
2748.0654,103.363
2749.9939,103.37
2751.9224,103.366
2753.8508,103.354
2755.7793,103.34
2757.7078,103.333
2759.6362,103.339
2761.5647,103.357
2763.4932,103.379
2765.4216,103.395
2767.3501,103.396
2769.2786,103.382
2771.2070,103.359
2773.1355,103.338
2775.0640,103.324
2776.9924,103.318
2778.9209,103.31
2780.8494,103.286
2782.7778,103.238
2784.7063,103.167
2786.6348,103.085
2788.5632,103.008
2790.4917,102.951
2792.4202,102.915
2794.3486,102.889
2796.2771,102.852
2798.2056,102.787
2800.1340,102.691
2802.0625,102.576
2803.9910,102.462
2805.9194,102.368
2807.8479,102.293
2809.7764,102.219
2811.7048,102.118
2813.6333,101.971
2815.5618,101.781
2817.4902,101.566
2819.4187,101.34
2821.3472,101.084
2823.2756,100.736
2825.2041,100.209
2827.1326,99.4415
2829.0610,98.445
2830.9895,97.3332
2832.9180,96.2977
2834.8464,95.5459
2836.7749,95.2258
2838.7034,95.3773
2840.6318,95.9297
2842.5603,96.7445
2844.4888,97.6713
2846.4172,98.5869
2848.3457,99.4009
2850.2742,100.037
2852.2026,100.414
2854.1311,100.458
2856.0596,100.133
2857.9880,99.4766
2859.9165,98.605
